,x,y,z
0,-6.0,-6.0,0.0
1,-5.907228,-5.544525,0.041109663
2,-7.0457306,-6.0705256,-0.012858458
3,-5.8334503,-6.617172,-0.03507341
4,-7.3482575,-7.0983734,-0.04571433
5,-5.9334598,-7.392125,-0.02578169
6,-5.7868223,-7.5548286,-0.07243947
7,-5.4181905,-7.7432647,-0.03420992
8,-4.9602933,-7.857737,-0.013548936
9,-5.1608176,-8.009906,-0.033892617
10,-5.460351,-7.0511703,-0.084844224
11,-5.1608176,-8.009906,-0.033892617
12,-5.0817404,-8.104629,0.002993613
13,-5.150623,-8.172808,-0.00799848
14,-5.150623,-8.172808,-0.00799848
15,-7.4146624,-5.9215245,0.07810121
16,-5.150623,-8.172808,-0.00799848
17,-3.96847,-7.5227556,-0.02901549
18,-4.348381,-7.9360957,-0.0015002314
19,-4.348381,-7.9360957,-0.0015002314
20,-4.7258625,-6.817402,0.027775219
21,-7.3482575,-7.0983734,-0.04571433
22,-7.000773,-7.629346,-0.022915684
23,-7.259193,-7.5859714,-0.06479698
24,-7.4698577,-7.545415,0.008056745
25,-7.8379617,-7.7867823,0.0019276511
26,-7.8379617,-7.7867823,0.0019276511
27,-7.8379617,-7.7867823,0.0019276511
28,-7.8379617,-7.7867823,0.0019276511
29,-5.150623,-8.172808,-0.00799848
30,-5.150623,-8.172808,-0.00799848
31,-7.8379617,-7.7867823,0.0019276511
32,-4.7258625,-6.817402,0.027775219
33,-7.6905084,-7.1641464,0.03639796
34,-7.704835,-4.8550844,0.061553378
35,-7.757892,-4.8974547,0.04678927
36,-7.948711,-4.9382997,-0.06308147
37,-7.915464,-4.292156,0.009005915
38,-7.6984315,-4.0296035,-7.571643e-07
39,-4.7258625,-6.817402,0.027775219
40,-7.508584,-4.1983247,0.0395051
41,-7.6984315,-4.0296035,-7.571643e-07
42,-7.948711,-4.9382997,-0.06308147
43,-7.9638457,-4.94894,-0.055900108
44,-4.7035885,-6.767963,0.023848196
45,-5.0337076,-8.181239,-0.010923434
46,-7.003963,-4.052872,0.038731065
47,-4.551868,-6.8773856,-0.021271665
48,-4.560615,-7.0745325,-0.03690015
49,-4.551868,-6.8773856,-0.021271665
50,-4.4751506,-6.8093295,-0.054301005
51,-4.436214,-6.7227664,0.010454267
52,-4.3975024,-6.7177606,0.014419052
53,-4.3975024,-6.7177606,0.014419052
54,-7.6984315,-4.0296035,-7.571643e-07
55,-4.8952856,-7.5920167,0.04488263
56,-7.6606727,-3.9331024,0.050601084
57,-4.3975024,-6.7177606,0.014419052
58,-7.8414435,-3.9418912,-0.04209
59,-7.6320777,-3.4334896,-0.023023482
60,-7.5680337,-3.20454,0.07546764
61,-6.9425287,-3.525142,0.046728052
62,-6.322311,-3.7266,-0.008097245
63,-7.5680337,-3.20454,0.07546764
64,-4.0494323,-3.7824192,0.033798624
65,-2.8597698,-3.9700406,-0.0038061012
66,-2.8597698,-3.9700406,-0.0038061012
67,-2.7147143,-3.738585,0.0671612
68,-1.8912777,-2.5133755,-0.025604203
69,-2.727172,-1.4428123,0.04878531
70,-1.936166,-1.5677652,0.012990295
71,-1.7851642,-1.9332415,-0.0024068195
72,-1.5029811,-1.9216851,-0.01216488
73,-6.9425287,-3.525142,0.046728052
74,-1.5029811,-1.9216851,-0.01216488
75,-1.9885759,-1.1569692,0.019277146
76,-3.2602303,-1.8663639,0.03261134
77,-3.4535224,-1.8878374,0.021835132
78,-1.9885759,-1.1569692,0.019277146
79,-1.9885759,-1.1569692,0.019277146
80,-3.4565804,-2.4539757,-0.07687431
81,-3.744716,-2.744873,-0.043373246
82,-3.319224,-3.333117,0.0802133
83,-3.303292,-3.0322917,0.022421787
84,-4.3418536,-2.948949,0.038286533
85,-3.0492947,-4.647848,-0.015322301
86,-4.6584964,-2.9374769,0.055623937
87,-2.7147143,-3.738585,0.0671612
88,-4.171428,-2.3997107,0.074153565
89,-3.7552946,-0.5977589,0.0027221555
90,-3.0492947,-4.647848,-0.015322301
91,-2.947553,-4.711153,-0.060783204
