,x,y,z
0,-6.0,-6.0,0.0
1,-6.179317,-6.3963656,-0.042573728
2,-6.3176765,-6.844068,0.09004158
3,-5.677563,-6.010572,-0.0431598
4,-4.9863067,-6.3126426,-0.081859395
5,-4.9863067,-6.3126426,-0.081859395
6,-6.3176765,-6.844068,0.09004158
7,-6.6452827,-7.178174,-0.019048478
8,-4.9863067,-6.3126426,-0.081859395
9,-7.5827556,-6.145396,-0.019640325
10,-6.4404297,-5.378324,0.0049248296
11,-7.5827556,-6.145396,-0.019640325
12,-5.3590555,-7.0041995,0.00047312715
13,-5.165155,-6.9886756,0.020309811
14,-6.6452827,-7.178174,-0.019048478
15,-7.5827556,-6.145396,-0.019640325
16,-5.2275453,-5.935394,0.013113096
17,-5.165155,-6.9886756,0.020309811
18,-3.939212,-7.3396325,-0.078477554
19,-3.1286533,-7.076425,0.03135194
20,-1.4900709,-6.212579,-0.0189359
21,-0.2330768,-6.6148257,-0.0031736076
22,-0.51740295,-7.3641663,-0.02714079
23,-1.4900709,-6.212579,-0.0189359
24,-2.2338417,-5.8135614,-0.0077162497
25,-2.2338417,-5.8135614,-0.0077162497
26,-2.352987,-5.8792777,-0.02817151
27,-4.462923,-4.349176,-0.0490609
28,-4.462923,-4.349176,-0.0490609
29,-4.462923,-4.349176,-0.0490609
30,-4.5981803,-4.4035707,-0.06848467
31,-2.352987,-5.8792777,-0.02817151
32,-3.1286533,-7.076425,0.03135194
33,-4.5981803,-4.4035707,-0.06848467
34,-4.5137506,-4.282984,-0.08651584
35,-4.5981803,-4.4035707,-0.06848467
36,-4.5981803,-4.4035707,-0.06848467
37,-2.801855,-2.8119943,0.016651658
38,-2.003969,-1.4551414,0.0303973
39,-1.8066628,-1.3316127,-0.016255619
40,-4.1744037,-0.97131425,0.014386209
41,-4.2665286,-0.6438994,-0.03271096
42,-4.250815,-0.72538304,0.038153134
43,-4.21659,-0.729767,-0.024326121
44,-3.3510845,-0.64939815,-0.03209777
45,-3.457241,-0.5331487,0.0056736
46,-3.5137868,-0.5444304,0.050638285
47,-3.4288266,-0.48261642,0.025787909
48,-3.4231002,-0.43737218,-0.0005588968
